token_index,token,probability,log_probability,entropy
1,,0.00138092041015625,-6.59375,5.125
2,"
",0.5859375,-0.53515625,3.0625
3,You,0.000637054443359375,-7.34375,3.0625
4,are,0.0927734375,-2.375,4.28125
5,writing,0.000850677490234375,-7.0625,5.375
6,a,0.2255859375,-1.4921875,4.125
7,Wikipedia,8.869171142578125e-05,-9.3125,5.3125
8,-,0.00701904296875,-4.96875,1.3671875
9,style,0.6796875,-0.38671875,1.390625
10,article,0.53125,-0.6328125,2.71875
11,.,0.0615234375,-2.78125,2.078125
12,"
",0.228515625,-1.4765625,3.84375
13,"
",0.546875,-0.60546875,3.0625
14,Write,0.00689697265625,-4.96875,4.3125
15,a,0.443359375,-0.8125,3.0
16,,0.12109375,-2.109375,4.71875
17,7,0.010009765625,-4.59375,1.4453125
18,0,0.330078125,-1.109375,0.86328125
19,0,0.91015625,-0.09423828125,0.373046875
20,-,0.9765625,-0.023681640625,0.140625
21,word,0.796875,-0.2275390625,0.81640625
22,bi,0.01458740234375,-4.21875,2.734375
23,ography,0.87890625,-0.12890625,0.39453125
24,of,0.46875,-0.7578125,1.65625
25,Stephen,0.0002574920654296875,-8.25,1.609375
26,Haw,0.5703125,-0.5625,1.875
27,king,0.99609375,-0.00390625,0.021728515625
28,.,0.06640625,-2.71875,1.578125
29,"
",0.259765625,-1.3515625,2.578125
30,"
",0.91015625,-0.09423828125,0.64453125
31,R,0.00029754638671875,-8.125,3.84375
32,ules,0.043701171875,-3.125,3.828125
33,:,0.74609375,-0.29296875,0.9609375
34,"
",0.90234375,-0.1025390625,0.609375
35,-,0.5,-0.69140625,1.359375
36,Only,0.0030059814453125,-5.8125,2.40625
37,output,3.8929283618927e-07,-14.75,2.328125
38,the,0.3515625,-1.046875,4.0
39,article,0.03466796875,-3.359375,3.953125
40,.,0.0208740234375,-3.875,2.90625
41,"
",0.66015625,-0.416015625,1.5234375
42,-,0.9921875,-0.00787353515625,0.057373046875
43,No,0.06640625,-2.71875,2.703125
44,meta,0.0002918243408203125,-8.125,4.84375
45,comment,0.000354766845703125,-7.9375,1.5390625
46,ary,0.205078125,-1.5859375,2.40625
47,.,0.2490234375,-1.390625,1.625
48,"
",0.9609375,-0.039794921875,0.306640625
49,-,0.98046875,-0.019775390625,0.10205078125
50,No,0.37890625,-0.96875,2.6875
51,instructions,4.601478576660156e-05,-10.0,5.40625
52,.,0.2099609375,-1.5625,1.875
53,"
",0.96484375,-0.035888671875,0.279296875
54,-,0.8515625,-0.1611328125,0.443359375
55,No,0.443359375,-0.8125,2.515625
56,formatting,0.1865234375,-1.6796875,5.34375
57,guidance,0.000141143798828125,-8.875,1.7890625
58,.,0.91015625,-0.09423828125,0.5546875
59,"
",0.97265625,-0.0277099609375,0.2080078125
60,-,0.62109375,-0.4765625,0.69921875
61,No,0.53515625,-0.625,2.34375
62,explan,0.003448486328125,-5.65625,5.90625
63,ations,0.6796875,-0.38671875,0.63671875
64,of,0.1962890625,-1.625,1.6015625
65,structure,0.00112152099609375,-6.78125,4.75
66,.,0.3359375,-1.09375,1.171875
67,"
",0.98046875,-0.019775390625,0.1552734375
68,-,0.6484375,-0.43359375,0.671875
69,No,0.72265625,-0.32421875,1.59375
70,bullet,0.000873565673828125,-7.03125,6.0625
71,points,0.91015625,-0.09423828125,0.455078125
72,or,0.1748046875,-1.7421875,0.73046875
73,lists,0.1474609375,-1.9140625,4.28125
74,.,0.94140625,-0.060302734375,0.333984375
75,"
",0.984375,-0.0157470703125,0.126953125
76,"
",0.22265625,-1.5,0.546875
77,The,0.024658203125,-3.703125,4.65625
78,article,0.69921875,-0.357421875,2.0625
79,must,0.054931640625,-2.90625,0.76953125
80,include,0.1982421875,-1.6171875,1.84375
81,real,0.00012874603271484375,-8.9375,1.9296875
82,istic,0.0262451171875,-3.640625,2.546875
83,-,0.0017242431640625,-6.375,2.21875
84,s,0.82421875,-0.193359375,0.8515625
85,ounding,0.890625,-0.11572265625,0.35546875
86,:,0.000240325927734375,-8.3125,2.484375
