token_index,token,probability,log_probability,entropy
1,Question,2.682209014892578e-06,-12.8125,5.125
2,:,0.20703125,-1.578125,2.625
3,Write,0.00836181640625,-4.78125,3.609375
4,a,0.8828125,-0.12451171875,0.640625
5,detailed,0.0303955078125,-3.5,4.59375
6,paragraph,0.04150390625,-3.1875,4.09375
7,about,0.37109375,-0.9921875,2.484375
8,Alexander,4.470348358154297e-06,-12.3125,1.5
9,Graham,0.06103515625,-2.796875,2.109375
10,Bell,0.9921875,-0.00787353515625,0.0634765625
11,.,0.0172119140625,-4.0625,1.140625
12,Answer,0.032958984375,-3.40625,2.9375
13,:,0.73828125,-0.302734375,0.734375
14,Alexander,0.9140625,-0.08984375,0.53515625
15,Graham,1.0,0.0,0.00885009765625
16,Bell,1.0,0.0,0.0079345703125
17,invent,0.008056640625,-4.8125,1.4140625
18,ed,1.0,0.0,0.0079345703125
19,the,0.95703125,-0.0439453125,0.30078125
20,tele,0.84765625,-0.1650390625,0.73046875
21,phone,1.0,0.0,0.004791259765625
22,.,0.12255859375,-2.09375,1.7109375
23,He,0.000194549560546875,-8.5625,2.234375
24,received,0.0137939453125,-4.28125,2.515625
25,a,0.40625,-0.90234375,1.578125
26,pat,0.89453125,-0.111328125,0.78515625
27,ent,1.0,0.0,0.00469970703125
28,in,0.173828125,-1.75,1.1953125
29,,0.87890625,-0.12890625,0.75
30,1,0.99609375,-0.00390625,0.0211181640625
31,8,1.0,0.0,0.005706787109375
32,7,1.0,0.0,0.011962890625
33,6,0.92578125,-0.0771484375,0.359375
34,.,0.1220703125,-2.109375,1.7734375
35,His,0.051025390625,-2.96875,3.421875
36,work,0.01312255859375,-4.34375,2.265625
37,transformed,0.00360107421875,-5.625,3.109375
38,communication,0.421875,-0.86328125,1.4140625
39,.,0.11181640625,-2.1875,2.921875
40,Bell,0.1767578125,-1.734375,3.421875
41,later,0.0005035400390625,-7.59375,3.75
42,invent,0.041259765625,-3.1875,4.1875
43,ed,1.0,0.0,0.004241943359375
44,quantum,5.453824996948242e-06,-12.125,1.8203125
45,tele,0.04931640625,-3.015625,2.09375
46,ph,0.0732421875,-2.609375,1.8203125
47,ones,0.99609375,-0.00390625,0.037353515625
48,.,0.2119140625,-1.5546875,2.0
49,Quant,0.0025482177734375,-5.96875,3.75
50,um,1.0,0.0,0.01373291015625
51,tele,0.91015625,-0.09423828125,0.6796875
52,ph,0.9296875,-0.07275390625,0.365234375
53,ones,1.0,0.0,0.0027313232421875
54,became,0.003326416015625,-5.71875,3.78125
55,common,0.006622314453125,-5.03125,2.9375
56,in,0.53515625,-0.625,2.15625
57,,0.07666015625,-2.5625,1.640625
58,1,0.91015625,-0.09423828125,0.341796875
59,8,0.032958984375,-3.40625,0.158203125
60,8,0.2353515625,-1.4453125,0.73828125
61,4,0.197265625,-1.625,2.03125
62,.,0.6796875,-0.38671875,1.46875
