token_index,token,probability,log_probability,entropy
1,Question,2.6673078536987305e-06,-12.8125,5.03125
2,:,0.20703125,-1.578125,2.625
3,Write,0.00787353515625,-4.84375,3.609375
4,a,0.88671875,-0.1201171875,0.6328125
5,detailed,0.0322265625,-3.4375,4.59375
6,paragraph,0.039794921875,-3.21875,4.09375
7,about,0.37109375,-0.9921875,2.46875
8,Alexander,4.470348358154297e-06,-12.3125,1.5
9,Graham,0.058349609375,-2.84375,2.109375
10,Bell,0.9921875,-0.00787353515625,0.06396484375
11,.,0.015625,-4.15625,1.0859375
12,"
",0.10888671875,-2.21875,2.953125
13,Answer,0.000888824462890625,-7.03125,5.0625
14,:,0.9765625,-0.023681640625,0.205078125
15,Alexander,0.94140625,-0.060302734375,0.392578125
16,Graham,1.0,0.0,0.0101318359375
17,Bell,1.0,0.0,0.005615234375
18,invent,0.01226806640625,-4.40625,1.53125
19,ed,1.0,0.0,0.00830078125
20,the,0.953125,-0.048095703125,0.32421875
21,tele,0.85546875,-0.15625,0.69921875
22,phone,1.0,0.0,0.004669189453125
23,.,0.1259765625,-2.078125,1.8125
24,He,0.0001811981201171875,-8.625,2.21875
25,received,0.01556396484375,-4.15625,2.671875
26,a,0.4296875,-0.84375,1.65625
27,pat,0.87890625,-0.12890625,0.87109375
28,ent,1.0,0.0,0.00634765625
29,in,0.1845703125,-1.6875,1.2734375
30,,0.87109375,-0.1376953125,0.78515625
31,1,0.99609375,-0.00390625,0.0262451171875
32,8,1.0,0.0,0.007781982421875
33,7,0.99609375,-0.00390625,0.0189208984375
34,6,0.89453125,-0.111328125,0.478515625
35,.,0.1435546875,-1.9375,1.84375
36,His,0.03515625,-3.34375,3.453125
37,work,0.01611328125,-4.125,2.4375
38,transformed,0.00518798828125,-5.25,3.28125
39,communication,0.416015625,-0.87890625,1.4765625
40,.,0.08544921875,-2.453125,2.984375
41,Bell,0.09326171875,-2.375,3.5
42,later,0.0005645751953125,-7.46875,3.859375
43,invent,0.03759765625,-3.28125,4.28125
44,ed,1.0,0.0,0.0057373046875
45,quantum,5.424022674560547e-06,-12.125,1.734375
46,tele,0.05712890625,-2.859375,2.171875
47,ph,0.07861328125,-2.546875,1.8125
48,ones,0.99609375,-0.00390625,0.043701171875
49,.,0.228515625,-1.4765625,2.078125
50,Quant,0.00311279296875,-5.78125,3.328125
51,um,1.0,0.0,0.0101318359375
52,tele,0.89453125,-0.111328125,0.76953125
53,ph,0.9296875,-0.07275390625,0.3515625
54,ones,1.0,0.0,0.00408935546875
55,became,0.003326416015625,-5.71875,3.828125
56,common,0.00726318359375,-4.9375,3.109375
57,in,0.51953125,-0.65625,2.25
58,,0.09375,-2.359375,1.8046875
59,1,0.90625,-0.0986328125,0.3515625
60,8,0.02587890625,-3.65625,0.1328125
61,8,0.25390625,-1.3671875,0.81640625
62,4,0.1748046875,-1.7421875,2.09375
63,.,0.6875,-0.375,1.484375
