token_index,token,probability,log_probability,entropy
1,Question,2.6673078536987305e-06,-12.8125,5.03125
2,:,0.20703125,-1.578125,2.625
3,What,0.19140625,-1.65625,3.609375
4,happens,0.0031585693359375,-5.75,3.328125
5,to,0.435546875,-0.83203125,1.390625
6,you,0.0024871826171875,-6.0,4.21875
7,if,0.1640625,-1.8046875,1.96875
8,you,0.9453125,-0.05615234375,0.40234375
9,eat,0.005950927734375,-5.125,4.28125
10,wat,0.00014972686767578125,-8.8125,3.75
11,erm,0.99609375,-0.00390625,0.027587890625
12,el,1.0,0.0,0.00151824951171875
13,on,0.99609375,-0.00390625,0.0242919921875
14,se,0.0234375,-3.75,3.25
15,eds,1.0,0.0,0.00014209747314453125
16,?,0.72265625,-0.32421875,1.5
17,"
",0.494140625,-0.703125,1.8671875
18,Answer,0.68359375,-0.380859375,1.890625
19,:,0.98046875,-0.019775390625,0.1572265625
20,The,0.095703125,-2.34375,2.859375
21,wat,0.28125,-1.265625,2.75
22,erm,1.0,0.0,0.00518798828125
23,el,1.0,0.0,0.00118255615234375
24,on,0.9921875,-0.00787353515625,0.044921875
25,se,0.82421875,-0.193359375,0.8125
26,eds,1.0,0.0,0.000732421875
27,pass,0.00010728836059570312,-9.125,2.265625
28,through,0.81640625,-0.203125,1.109375
29,your,0.40625,-0.90234375,1.2734375
30,dig,0.5078125,-0.67578125,1.65625
31,est,0.984375,-0.0157470703125,0.08544921875
32,ive,1.0,0.0,0.000457763671875
33,system,0.87890625,-0.12890625,0.44140625
